line,page,week,num_likes,domain,outlet,title,description,contenttype,image,url,text,id,right_of_center
21,Pegida,3,821,sachsen.de,,,,,,http://www.polizei.sachsen.de/de/dokumente/PDD/20150118XAllgemeinverfXgung.pdf,"Hinweis: Entschuldigung, ein Fehler ist aufgetreten. Die Ressource, nach der Sie suchen, wurde entfernt, der Name wurde geändert oder ist vorübergehend nicht verfügbar.",21,True
22,Pegida,3,273,nasul.tv,,,,,,http://www.nasul.tv/?p=103794,EI NU SUNT CHARLIE! EI SUNT ÎNVĂŢAŢI SĂ UCIDĂ CU SÂNGE RECE ŞI SUNT MÂNDRI! | CELE MAI ŞOCANTE IMAGINI DINTR-O TABĂRĂ ISIS ÎNREGISTRATE VREODATĂ! De către,22,True
23,Pegida,3,558,youtube.com,YouTube,Pegida setzt sich durch,Filmbericht von der Pegida-Versammlung in Dresden am 12. Januar 2015.,video,https://i.ytimg.com/vi/6HWT2U3Ei1g/hqdefault.jpg,https://www.youtube.com/watch?v=6HWT2U3Ei1g,"Möchtest du dieses Video später noch einmal ansehen? Wenn du bei YouTube angemeldet bist, kannst du dieses Video zu einer Playlist hinzufügen.",23,True
24,Pegida,3,888,tagesschau.de,tagesschau.de,Von der Leyen im Irak: Mehr deutsche Waffen für Kurden?,"Deutschland prüft weitere Waffenlieferungen an die irakischen Kurden. Verteidigungsministerin von der Leyen sagte zum Abschluss ihres Irak-Besuchs, zunächst sollten Experten beraten - dann müsse sich die Bundesregierung abstimmen.",website,https://www.tagesschau.de/multimedia/bilder/leyen-123~_v-videowebm.jpg,https://www.tagesschau.de/ausland/leyen-peschmerga-105.html,"Dieser Artikel wurde ausgedruckt unter der Adresse: www.tagesschau.de/ausland/leyen-peschmerga-105.html Von der Leyen im Irak Mehr deutsche Waffen für Kurden? Stand: 12.01.2015 21:18 Uhr Deutschland prüft weitere Waffenlieferungen an die irakischen Kurden. Verteidigungsministerin von der Leyen sagte zum Abschluss ihres Irak-Besuchs, zunächst sollten Experten beraten - dann müsse sich die Bundesregierung abstimmen. Von Arnd Henze, WDR, ARD-Hauptstadtstudio, zzt. Erbil tagesschau 20:00 Uhr, 12.01.2015, Arnd Henze, ARD Berlin, zzt. Amman Download der Videodatei",24,True
25,Pegida,3,4309,stern.de,stern.de,"Deutscher IS-Kämpfer: Wir werden Europa erobern und jeden töten, der nicht konvertiert - Ausland | STERN.de",Wie ticken Kämpfer des IS? Der Journalist Jürgen Todenhöfer hat den deutschen Islamisten Christian Emde getroffen - ein beängstigendes Interview.,article,http://image.stern.de/4029318/16x9-1200-675/54f81e2b20b475275d78cd6453ad99b0/xx/todenhoefer-emde-jpg--d2fc4dd0bba32152-.jpg,http://www.stern.de/politik/ausland/deutscher-is-kaempfer-wir-werden-europa-erobern-und-jeden-toeten-der-nicht-konvertiert-2166189.html,"\"IS-Kämpfer Emde (r.) und Journalist Todenhöfer: \"\"Die Anzahl der Toten ist uns egal\"\" © RTL E-Mail WhatsApp Facebook Twitter Google+ 14. Januar 2015 Wie ticken Kämpfer des Islamischen Staates? Dem deutschen Journalisten Jürgen Todenhöfer ist es gelungen",den deutschen Islamisten Christian Emde zu befragen - in einem beängstigenden Interview. Zehn Tage lang war der Publizist Jürgen Todenhöfer im Dezember im Islamischen Staat unterwegs. Ganz offiziell und genehmigt von den dort herrschenden Islamisten. Als einer von sehr wenigen westlichen Journalisten sprach er auf seiner Reise mit Kämpfern des IS. Unter anderem mit dem deutschen Konvertiten Christian Emde,den er im irakischen Mossul traf. Was der Extremist sagte
26,Pegida,3,923,facebook.com,,,,,,https://www.facebook.com/pegida.nrw.offiziell,"Sicherheitskontrolle erforderlich Entfernen Wir verwenden Cookies, um Inhalte zu personalisieren, Werbeanzeigen maÃzuschneidern und zu messen sowie die Sicherheit unserer Nutzer zu erhÃ¶hen. Wenn du auf unsere Webseite klickst oder hier navigierst, stimmst du der Erfassung von Informationen durch Cookies auf und auÃerhalb von Facebook zu. Weitere Informationen zu unseren Cookies und dazu, wie du die Kontrolle darÃ¼ber behÃ¤ltst, findest du hier: Cookie-Richtlinie .",26,True
27,Pegida,3,996,focus.de,FOCUS Online,Türkischer Regierungschef vergleicht Pegida mit IS,,article,http://p5.focus.de/img/fotos/crop4147300/8292716475-w1200-h627-o-q75-p5/urn-newsml-dpa-com-20090101-140920-99-01083-large-4-3.jpg,http://www.focus.de/politik/ausland/das-ist-dieselbe-logik-tuerkischer-regierungschef-vergleicht-pegida-mit-is_id_4402560.html,"\"von Susi Vormwalde von denen sich die Türken bescheinen lassen. Das ist aber letzten Endes Sache der Türken selbst. Nur, über Deutsche solchen Schwachsinn von einem türkischen Ministerpräsidenten zu verbreiten, sollte doch wenigstens eine offiziell Note unserer Regierung an die Türken sein. Antwort schreiben 14.01.2015 von Ralf Kollow Heute im Focus  Ticker: 15.06 Uhr: Ein Gericht in der Türkei hat die Sperrung von Internetseiten angeordnet, die das Titelbild der neuen Ausgabe der französischen Satirezeitung \"\"Charlie Hebdo\"\" zeigen.  Und die Türkei meint uns sagen zu müssen was Demokratie ist und wie wir mit PEGIDA umzugehen haben? Antwort schreiben 14.01.2015 von Johannes Frey In der Türkei werden Regierungsgegner heftig diskriminiert. Christen werden ermordet. Alle Nichtmuslimischen Religionsgemeinschaften weren diskriminiert. Ethnische Minderheiten werden geleugnet und eliminiert. Der Genozid an den Armeniern ist Tatsache und wird doch bis heute geleugnet. Der kulturelle Genozid an den Kurden in der Türkei ist bis heute nicht beendet.  Aber die friedlichen Kritiker des Islam werden mit den Massenmördern des IS gleichgeesetz. Daraus kann man nur schließen: Kritik am Islam ist für Herrn Davutoglu ein ebenso schlimmes Verbrechen wie das Abschlachten tausender Unschuldiger Frauen und Kindern. Gott bewahre uns vor diesem Demokratieverständnis in der EU! Rassismus und Totalitarismus darf in Europa nicht wieder salonfähig werden - egal ob deutsch oder türkisch! Antwort schreiben 14.01.2015 von Achim Lucas Rehm Die Türkei betreibt Internet Zensur",verbietet die Karikaturen,läßt Menschen zusammenschlagen
28,Pegida,3,4322,wikipedia.org,,,,,,http://de.wikipedia.org/wiki/Josef_Wirmer,"Familie[ Bearbeiten | Quelltext bearbeiten ] Josef Wirmer stammte aus einer katholischen Lehrerfamilie, sein Vater Anton Wirmer war ein Altphilologe und Direktor des Gymnasium Marianum Warburg . Er war zweites von fünf Geschwistern, darunter Ernst Wirmer . Josef Wirmer war verheiratet mit Hedwig geb. Preckel und hatte drei Kinder (Johanna, Maria, Anton). Seine Tochter Maria heiratete 1955 den Diplomaten Peter Hermes , den Sohn des Widerständlers Andreas Hermes ; aus der Ehe stammen sechs Kinder. Jugend und Studium (1901–1924)[ Bearbeiten | Quelltext bearbeiten ] Nach seinem Abitur mit Auszeichnung an diesem Gymnasium studierte er ab 1920 in Freiburg im Breisgau und Berlin Rechtswissenschaft . Dabei schloss er sich jeweils Studentenverbindungen des KV an. Im Sommersemester 1920 trat er in den KStV Brisgovia ein. Im Wintersemester 1923/24 war er Senior des KStV Guestphalia Berlin und 1924 in Freiburg  Mitbegründer des KStV Flamberg, der jetzt in Bonn als KStV Flamberg Bonn [1] besteht. Weiter war Wirmer noch Mitglied  beim KStV Langemarck-Bonn und wurde später Ehrenphilister beim  KStV Semnonia-Berlin. [2] In klarer Abgrenzung zu der in gebildeten Kreisen immer noch vorherrschenden monarchistischen Auffassung vertrat Wirmer  in der Studienzeit engagiert seine demokratische Gesinnung. Dies trug ihm den Beinamen „der rote Wirmer“ ein. Nach dem bestandenen Referendarexamen 1924 und dem Assessorexamen 1927 ließ er sich in Berlin als Rechtsanwalt nieder. Tätigkeit als Jurist und Politiker (1924–1944)[ Bearbeiten | Quelltext bearbeiten ] Dort schloss er sich politisch der Zentrumspartei an, zu deren linken Flügel er sich zählte. Er setzte sich für eine große Koalition mit der SPD ein. Als „Alter Herr“ hatte er beim KV im „Kartellverbands-Rat“ unter anderem die Aufgabe der „Berufsberatung“. Josef Wirmer stand seit der so genannten Machtergreifung aus demokratischer Überzeugung und Sorge um den Rechtsstaat in Gegnerschaft zu den Nationalsozialisten . Wegen der engagierten Verteidigung rassisch Verfolgter wurde er aus dem Nationalsozialistischen Rechtswahrerbund , dem berufsständischen Zusammenschluss von Rechtsanwälten, Staatsanwälten und Richtern, ausgeschlossen. Den Abschluss des Reichskonkordats lehnte er ab. Ob er, wie manche meinen, beim damaligen Kardinalstaatssekretär Eugenio Kardinal Pacelli, dem späteren Papst Pius XII. , persönlich zu intervenieren versucht hat, lässt sich mit Quellen nicht belegen. Wirmers Entwurf einer Flagge für Deutschland aus dem Jahr 1944 1936 kam er in Kontakt zu den gewerkschaftlichen Widerstandskreisen um Jakob Kaiser . Seit 1941 gehörte er zu dem Kreis um Carl Friedrich Goerdeler . Die historische Forschung ist sich mittlerweile einig, dass er im Widerstand durch seine persönlichen Kontakte sehr viele Vorbehalte überwinden konnte, die traditionell zwischen den Gruppen der Gewerkschafter und Sozialdemokraten, den kirchlichen Kreisen und den alten adligen Eliten bestanden. Sein Haus war einer der wichtigsten Treffpunkte der Verschwörer, wo neben Kaiser, Leuschner und Habermann auch Goerdeler und die Mitarbeiter der Abwehr verkehrten. [3] Den Attentatsplan Claus Graf Schenk von Stauffenbergs unterstützte er von Anfang an. Von Wirmer stammt der aus den Reihen des Widerstands einzige selbständige Entwurf für ein neues Nationalsymbol: Er entwarf eine Nationalflagge , die ein schwarzes, golden eingefasstes Kreuz mit leicht zum Mast verschobenem Querbalken auf rotem Grund als neue Nationalflagge vorsah.",28,True
29,Pegida,3,4270,youtube.com,YouTube,,,,,http://youtu.be/5QPfl-0HFfM,"Datenschutzhinweis für YouTube, ein Google-Unternehmen Navigation überspringen",29,True
30,Pegida,3,1527,saarbruecker-zeitung.de,,,,,,"http://www.saarbruecker-zeitung.de/saarland/saarbruecken/saarbruecken/saarbruecken/Saarbruecken-Demonstrationen-Islam-Islamismus-Islamistischer-Fundamentalismus-Islamkritik-Mord-Multikulturalitaet-Paris-Rassismus-Reden;art446398,5583646","\"| 00:00 Uhr Eklat bei Frankreich-Mahnwache Mit dem Slogan “Ich bin Charlie„ bekundeten Menschen am Samstag auf dem Saarbrücker Ludwigsplatz ihr Mitgefühl mit den ermordeten Journalisten des Satire-Magazins “Charlie Hebdo„. FOTO: Becker&Bredel Mit dem Slogan “Ich bin Charlie„ bekundeten Menschen am Samstag auf dem Saarbrücker Ludwigsplatz ihr Mitgefühl mit den ermordeten Journalisten des Satire-Magazins “Charlie Hebdo„. FOTO: Becker&Bredel Twittern Saarbrücken. Islamkritik gibt es nur bei Rechten? Falsch, bei einer Kundgebung auf dem Ludwigsplatz stellte eine Rednerin der linken Aktion 3. Welt einen Zusammenhang zwischen Islam und den Morden von Frankreich her. Viele Besucher verließen den Platz. Daniel Kirch, Frank Bredel Sie waren zu Hunderten zum französischen Generalkonsulat gekommen, um ein Zeichen der Solidarität mit Frankreich zu setzen. Doch Gertrud Selzer wollte es dabei nicht belassen. Das Vorstandsmitglied der Aktion 3. Welt hielt bei einer Kundgebung am Samstag vor dem Konsulat eine islamkritische Rede, die im Eklat endete. Viele Zuhörer verließen den Ludwigsplatz, es gab \"\"Aufhören!\"\"-Rufe. Was war geschehen? Die Aktion 3. Welt","die autonome Antifa Saar und die Kurdische Jugend hatten nach den Morden in Frankreich zu einer Mahnwache mit dem Titel \"\"Solidarität mit Charlie Hebdo - Islamismus und Rassismus bekämpfen\"\" aufgerufen. Auf dem Ludwigsplatz versammelten sich laut Polizei zeitweise tausend Menschen",weil sich zur gleichen Zeit viele Bürger - auch viele Franzosen - in das Kondolenzbuch des Konsulats eintragen wollten. Dass viele schnell wieder gingen
