medallion,hack_license,pickup_datetime,dropoff_datetime,trip_time_in_secs,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,surcharge,mta_tax,tip_amount,tolls_amount,total_amount,mask,to_be_fixed,date
27A66351B6F3872FBF696EB66FFB983C,57EBFBD2EB8E56FA92E5BF2FFB3D29AC,2013-01-01T00:42:00.000+01:00,2013-01-01T00:42:00.000+01:00,0,0.0,0.0,0.0,0.0,0.0,CRD,52.0,0.0,0.5,10.4,0.0,62.9,0,0,7.0
5B773DEFCAE980641A1C5BE901DD6DE4,D7ACCEDC3F19A5C3372E272DECA34960,2013-01-01T00:43:00.000+01:00,2013-01-01T00:43:00.000+01:00,0,0.0,-74.035645,40.744251,-74.035645,40.744251,CRD,63.0,0.0,0.5,0.0,0.0,62.5,100000,1,7.0
65EFB7D02BAD12D5DE757CB5D350944E,5821A729C0640F6EFCD323ED7CD3F390,2013-01-01T00:42:00.000+01:00,2013-01-01T00:43:00.000+01:00,60,0.01,-73.969978,40.762871000000004,-73.994904,40.765636,CSH,2.5,0.5,0.5,0.0,0.0,3.5,0,0,7.0
753EDB6058E7FD7C9934891A2DC635F3,01D771BD290991D508C6DAA340B3CA31,2013-01-01T00:42:00.000+01:00,2013-01-01T00:43:00.000+01:00,60,0.0,-73.970116,40.793995,-73.970123,40.794003000000004,CRD,19.0,0.0,0.5,0.18,0.0,19.68,0,0,7.0
83B9AE79BCF7672D606B286823AE9C67,182458D7C9CD342AA9F83F7836B1014A,2013-01-01T00:43:00.000+01:00,2013-01-01T00:43:00.000+01:00,0,0.0,0.0,0.0,0.0,0.0,CRD,58.0,0.0,0.0,11.6,0.0,69.6,0,0,7.0
DBF620E94C8869D543A1C0E4BF55D142,BABDC5E896D679E9FC4B889D9C1EA23C,2013-01-01T00:42:00.000+01:00,2013-01-01T00:43:00.000+01:00,60,0.0,-74.000275,40.730373,-74.000275,40.730377000000004,CRD,15.0,0.0,0.5,0.0,0.0,15.5,0,0,7.0
205CCC9B84F0BCA91B461CC53E27BB71,174F00FEDED4FC7517931A15F73D7DB3,2013-01-01T00:42:00.000+01:00,2013-01-01T00:44:00.000+01:00,120,0.8,-73.951134,40.785931,-73.95721400000001,40.777176000000004,CSH,4.5,0.5,0.5,0.0,0.0,5.5,0,0,7.0
3FFC48DBEB9D0179948B8E9E5D84D5D0,D8E8E0D52B335B01FDF3CD0ABE9C4C4E,2013-01-01T00:42:00.000+01:00,2013-01-01T00:44:00.000+01:00,120,0.47,-73.96637700000001,40.757979999999996,-73.96979499999999,40.753265,CSH,3.5,0.5,0.5,0.0,0.0,4.5,0,0,7.0
59557EC7EB75668898E95EA8BD52F11D,C2A4490116ED5848E660C11705DFEC2D,2013-01-01T00:44:00.000+01:00,2013-01-01T00:44:00.000+01:00,0,0.0,-73.987602,40.733459,-73.987633,40.733433000000005,CSH,2.5,0.5,0.5,0.0,0.0,3.5,0,0,7.0
6B22AE697469CEA3DB866376A918349A,52169A073CB4E5B1DB22045E075AF851,2013-01-01T00:42:00.000+01:00,2013-01-01T00:44:00.000+01:00,120,0.08,-73.970215,40.754784,-73.97090899999999,40.755569,CSH,3.5,0.5,0.5,0.0,0.0,4.5,0,0,7.0
