medallion,hack_license,pickup_datetime,dropoff_datetime,trip_time_in_secs,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,surcharge,mta_tax,tip_amount,tolls_amount,total_amount,date
613424EA2B08FFCED3711B95B155B200,68F51656C95807E419337E1E1277C975,2013-01-01T00:18:00.000+01:00,2013-01-01T00:18:00.000+01:00,0,0.0,0.0,0.0,0.0,0.0,CRD,13.3,0.0,0.0,0.0,0.0,13.3,3.0
1D5461C0B8E5E4D20BCCF29B76781116,0CA5DC811EEB2A23F4FE9AC91FB39BDC,2013-01-01T00:19:00.000+01:00,2013-01-01T00:19:00.000+01:00,0,0.0,-74.208199,40.87812,0.0,0.0,CRD,259.0,0.0,0.0,51.8,10.25,321.05,3.0
E023A105F4FA581A980D47C0BCFA12A3,04D1D5B104B16D1A0D34CBB152B97091,2013-01-01T00:18:00.000+01:00,2013-01-01T00:19:00.000+01:00,60,0.45,-73.963402,40.77462,-73.95948800000001,40.780285,CSH,3.5,0.5,0.5,0.0,0.0,4.5,3.0
0964BAF015F74B4E628615EAFD0E2D57,7E66412D458E5647D89606082F91A5F4,2013-01-01T00:19:00.000+01:00,2013-01-01T00:20:00.000+01:00,60,0.68,-73.951233,40.778778,-73.955269,40.773113,CSH,4.0,0.5,0.5,0.0,0.0,5.0,3.0
3E841B83C3B99F71F38C483C76D39E4F,21D086F9F8A40D99A834C253B05DD6D4,2013-01-01T00:20:00.000+01:00,2013-01-01T00:20:00.000+01:00,0,0.03,0.0,0.0,0.0,0.0,CSH,2.5,0.5,0.5,0.0,0.0,3.5,3.0
4B3FEE6BF0F51D5A60876553B8BA7D00,14FD25A12EC92832E7164AD126D41B8F,2013-01-01T00:18:00.000+01:00,2013-01-01T00:20:00.000+01:00,120,1.0,-73.96386700000001,40.757121999999995,-73.956947,40.766483,CRD,5.0,0.5,0.5,1.0,0.0,7.0,3.0
4BB0741C3D478A6DB64C862938868561,0234324D3A4F0680FCCE4BC01518E6D9,2013-01-01T00:18:00.000+01:00,2013-01-01T00:20:00.000+01:00,120,0.92,-74.00353199999999,40.726875,-73.997162,40.736984,CSH,4.5,0.5,0.5,0.0,0.0,5.5,3.0
58A86E2767A7B1F109F02913297CB847,8174E3CF2919C19EF138B44C7CDEBDAE,2013-01-01T00:19:00.000+01:00,2013-01-01T00:20:00.000+01:00,60,0.0,-74.000351,40.737968,-74.000351,40.737968,CSH,2.5,0.5,0.5,0.0,0.0,3.5,3.0
78E743DC4BF97AB1AEF2C312F42A134D,BB236E12CC76DF69BDC2248A46AC3BD9,2013-01-01T00:18:00.000+01:00,2013-01-01T00:20:00.000+01:00,120,0.5,-73.96755999999999,40.756386,-73.970985,40.751606,CSH,4.0,0.5,0.5,0.0,0.0,5.0,3.0
80AC2E141CB5B9D8B8DAC48988B2A3BC,19CA81FFA64B3844AF53883E1510B19A,2013-01-01T00:20:00.000+01:00,2013-01-01T00:20:00.000+01:00,0,0.02,0.0,0.0,0.0,0.0,CSH,52.0,0.0,0.5,0.0,0.0,52.5,3.0
