medallion,hack_license,pickup_datetime,dropoff_datetime,trip_time_in_secs,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,surcharge,mta_tax,tip_amount,tolls_amount,total_amount,mask,to_be_fixed,date
9364D7B4997CF34F9FA76664DD20E0EE,C7B4B073B0FDD63433C61665AAAE0AFD,2013-01-01T00:06:00.000+01:00,2013-01-01T00:07:00.000+01:00,60,0.53,-73.959122,40.771812,-73.955276,40.774345000000004,CSH,3.5,0.5,0.5,0.0,0.0,4.5,0,0,1.0
6A2F0DA64D7DF09787DC786CEDF48D17,B387F60E25035734BE8CBD991228BF8E,2013-01-01T00:07:00.000+01:00,2013-01-01T00:08:00.000+01:00,60,0.1,-73.993629,40.762207000000004,-73.994034,40.763165,CSH,2.5,0.5,0.5,0.0,0.0,3.5,0,0,1.0
C72C140F3B265A08BA525AD4586D40DB,5D0A6A2D6A7ECEF7541F4FF758708F2C,2013-01-01T00:06:00.000+01:00,2013-01-01T00:08:00.000+01:00,120,0.76,0.0,0.0,0.0,0.0,CSH,4.5,0.5,0.5,0.0,0.0,5.5,0,0,1.0
03A8081017EE702DA6494085566665DA,9837711811287BB91E7536A6970B0305,2013-01-01T00:06:00.000+01:00,2013-01-01T00:09:00.000+01:00,180,0.35,-73.990852,40.746196999999995,-73.994972,40.748714,CSH,4.0,0.5,0.5,0.0,0.0,5.0,0,0,1.0
0A6716952AE1B7B1EB901776A8DB82C8,BDE530C22C69B68EAB1CACA606C74679,2013-01-01T00:07:00.000+01:00,2013-01-01T00:09:00.000+01:00,120,0.45,-73.978699,40.777538,-73.982407,40.772057000000004,CSH,4.0,0.5,0.5,0.0,0.0,5.0,0,0,1.0
10E3576CB40CB66BED12E0E83F1EF515,910BB3EA07E490BAA59D0CE0DCB21A97,2013-01-01T00:09:00.000+01:00,2013-01-01T00:09:00.000+01:00,0,0.0,-73.987549,40.750675,0.0,0.0,CSH,3.5,0.5,0.5,0.0,0.0,3.5,100000,1,1.0
61F54249450649B22FCF456774A2F24F,0C8B8F7DBFBFA590CBE10177CCE81481,2013-01-01T00:07:00.000+01:00,2013-01-01T00:09:00.000+01:00,120,0.5,-73.968437,40.799122,-73.961937,40.797131,CSH,4.0,0.5,0.5,0.0,0.0,5.0,0,0,1.0
90B11B457EE0FB2D98E7350D18A8C5E8,7E458DFE39A1B9DF6ABE6F7451C591DA,2013-01-01T00:07:00.000+01:00,2013-01-01T00:09:00.000+01:00,120,0.46,-73.98520699999999,40.718807,-73.98520699999999,40.718807,CSH,3.5,0.5,0.5,0.0,0.0,4.5,0,0,1.0
A105D655494EF46AA81DE3463444D4B5,C4A1213ABE84E943DE936DBBAC3CD3F9,2013-01-01T00:06:00.000+01:00,2013-01-01T00:09:00.000+01:00,180,0.72,-73.939499,40.847797,-73.943138,40.839931,CSH,3.5,0.5,0.5,0.0,0.0,5.5,100000,1,1.0
A21B2BFB5B62823486D7B9DE820AE8C2,BA4438A7C8DA6BED3EA70C45F8A31AB8,2013-01-01T00:06:00.000+01:00,2013-01-01T00:09:00.000+01:00,180,0.7,-74.011093,40.715881,-74.005119,40.719409999999996,CSH,4.5,0.5,0.5,0.0,0.0,5.5,0,0,1.0
A89CFF4DF7463F62A14E261A026A4C93,D71394AFA57E6A2647CFEFBFA38F396D,2013-01-01T00:06:00.000+01:00,2013-01-01T00:09:00.000+01:00,180,0.66,-73.977501,40.764423,-73.97221400000001,40.759727000000005,CSH,4.5,0.5,0.5,0.0,0.0,5.5,0,0,1.0
B35408034074E9A6C2A36C9924B9970D,BEC5313B9E39221FA5ED6857B98E8B00,2013-01-01T00:06:00.000+01:00,2013-01-01T00:09:00.000+01:00,180,0.72,-73.969872,40.794616999999995,-73.975403,40.789768,CSH,3.5,0.5,0.5,0.0,0.0,6.0,100000,1,1.0
DC94C90BDE77EE687F8BB379A349C674,952CF2A2975BFD2A7B9A341A885BE7CE,2013-01-01T00:07:00.000+01:00,2013-01-01T00:09:00.000+01:00,120,0.63,-73.95558199999999,40.772488,-73.949554,40.773617,CSH,4.0,0.5,0.5,0.0,0.0,5.0,0,0,1.0
DE67EF0C69802DA616A6B6C812C1C364,FF965116CF16F832F2C7F940F16746E5,2013-01-01T00:06:00.000+01:00,2013-01-01T00:09:00.000+01:00,180,1.28,-73.98092700000001,40.779877,-73.968887,40.788452,CSH,5.5,0.5,0.5,0.0,0.0,6.5,0,0,1.0
F8A0B52B22BB58B3C45E66CEE135C29D,00B7691D86D96AEBD21DD9E138F90840,2013-01-01T00:06:00.000+01:00,2013-01-01T00:09:00.000+01:00,180,0.0,-73.937744,40.758354,-73.937752,40.758358,CRD,4.0,0.5,0.5,0.15,0.0,5.15,0,0,1.0
F95F86DA8A7EF5FED7F0F4B4C31DD6BE,7A897CA34A5D736E899C150798FF51FE,2013-01-01T00:06:00.000+01:00,2013-01-01T00:09:00.000+01:00,180,0.57,-73.963844,40.761364,-73.969093,40.754208,CRD,4.0,0.5,0.5,0.9,0.0,5.9,0,0,1.0
FCC037120B4287337868BA53FD007782,2C249968D2CD72243CC987C110A73BF1,2013-01-01T00:06:00.000+01:00,2013-01-01T00:09:00.000+01:00,180,0.67,-73.998672,40.745403,-74.001762,40.745018,CSH,4.5,0.5,0.5,0.0,0.0,5.5,0,0,1.0
FE047F5FD5B40DABD7330676073F0769,2FC2F7036730D1B13BC188E5F091B923,2013-01-01T00:07:00.000+01:00,2013-01-01T00:09:00.000+01:00,120,0.75,-73.94252,40.790524,-73.940559,40.797340000000005,CRD,4.0,0.5,0.5,0.9,0.0,5.9,0,0,1.0
0398E30B94A30D36BF84C4FCECE4B628,178C58D2C909125EE599C388CC1A311C,2013-01-01T00:07:00.000+01:00,2013-01-01T00:10:00.000+01:00,180,0.83,-73.982109,40.674213,-73.99025,40.66452,CSH,5.0,0.5,0.5,0.0,0.0,6.0,0,0,1.0
26AB00A95EF60968E27B94C6172B289F,9240D60653394422740338BEFF768836,2013-01-01T00:07:00.000+01:00,2013-01-01T00:10:00.000+01:00,180,0.83,-73.981133,40.756153000000005,-73.973099,40.761894,CSH,4.5,0.5,0.5,0.0,0.0,5.5,0,0,1.0
2AA525948E036905C904C6E0A8E0F73B,AF0D39F016798651D7EBBF2F59B9F2BD,2013-01-01T00:10:00.000+01:00,2013-01-01T00:10:00.000+01:00,0,0.01,-73.997864,40.716934,-73.99807,40.717003000000005,CSH,3.5,0.5,0.5,0.0,0.0,3.5,100000,1,1.0
2C062461E5CCEEC52CC673DE0A1194A4,BF157428929790797710C2896924914E,2013-01-01T00:06:00.000+01:00,2013-01-01T00:10:00.000+01:00,240,0.58,-73.989731,40.725861,-73.988014,40.730312,CSH,3.5,0.5,0.5,0.0,0.0,6.0,100000,1,1.0
385362C459F2DECC00D7E262B5F0B4C3,8C25B80C13FE9A642D82EE6E5B157C39,2013-01-01T00:10:00.000+01:00,2013-01-01T00:10:00.000+01:00,0,0.17,0.0,0.0,0.0,0.0,CSH,3.5,0.5,0.5,0.0,0.0,3.5,100000,1,1.0
4651495648952041F1623CFFA76EC0A9,A73B429EEF6B39C94F17012B0CB1ACFD,2013-01-01T00:06:00.000+01:00,2013-01-01T00:10:00.000+01:00,240,1.42,-73.955872,40.768158,-73.947624,40.784519,CRD,6.0,0.5,0.5,3.0,0.0,10.0,0,0,1.0
4AAAC4315CFB9DBCECE87D5F583B91AA,E7498108BE6BD690E3F6FECB9606819A,2013-01-01T00:06:00.000+01:00,2013-01-01T00:10:00.000+01:00,240,0.69,-73.996445,40.725719,-73.99329399999999,40.719318,CRD,5.0,0.5,0.5,1.1,0.0,7.1,0,0,1.0
4BE2632C4D6BFA5244911FE164AC3B61,C343B39F36CBF90BD168F9639300ABEF,2013-01-01T00:07:00.000+01:00,2013-01-01T00:10:00.000+01:00,180,0.38,-73.988365,40.720043,-73.990471,40.716026,CSH,3.5,0.5,0.5,0.0,0.0,5.0,100000,1,1.0
5830BCD07955EFFBEEFD253EA4C47F4B,D1B137A8C2F0083EBA97CF3B853DAFD9,2013-01-01T00:07:00.000+01:00,2013-01-01T00:10:00.000+01:00,180,0.77,-73.943016,40.802483,-73.93634,40.811596,CSH,4.5,0.5,0.5,0.0,0.0,5.5,0,0,1.0
6038DF7EC8CDBD060B54E8C531B83A63,7EDD2A00487C4CF67024B76B9E189E91,2013-01-01T00:07:00.000+01:00,2013-01-01T00:10:00.000+01:00,180,0.82,-73.95452900000001,40.769871,-73.952095,40.777167999999996,CSH,3.5,0.5,0.5,0.0,0.0,5.5,100000,1,1.0
996F7B252CC9F41102FA97E72545D086,EB1C0C0D81EA20731CDBB49CFF0CBC3B,2013-01-01T00:06:00.000+01:00,2013-01-01T00:10:00.000+01:00,240,0.71,-73.987404,40.735802,-73.98111,40.741634000000005,CRD,5.0,0.5,0.5,1.1,0.0,7.1,0,0,1.0
AF286136A552DDA5477D47993D30E8D0,BDF8177FEA807841CB5D4979C3AE5662,2013-01-01T00:07:00.000+01:00,2013-01-01T00:10:00.000+01:00,180,0.8,-73.978279,40.729507,-73.985023,40.723553,CSH,5.0,0.5,0.5,0.0,0.0,6.0,0,0,1.0
B367F56ECA0D511CB246244E36F307B2,EAFD2A3D3A5EEC67493E50EA3E5DBF2D,2013-01-01T00:07:00.000+01:00,2013-01-01T00:10:00.000+01:00,180,1.92,-73.974655,40.742176,-73.958977,40.763634,CRD,7.0,0.5,0.5,1.88,0.0,9.88,0,0,1.0
C6B2E3AAF5C7306AF035D1487724BF9E,B8464EA43C2B0576F924C9954A99E2B7,2013-01-01T00:09:00.000+01:00,2013-01-01T00:10:00.000+01:00,60,0.19,-73.995224,40.759861,-73.996872,40.761162,CSH,3.0,0.5,0.5,0.0,0.0,4.0,0,0,1.0
C7CD5A324582EFE8885A3B2B02124B3F,2590F0470D831D60C93B71D3142136B8,2013-01-01T00:07:00.000+01:00,2013-01-01T00:10:00.000+01:00,180,1.26,-73.960876,40.807018,-73.960876,40.807018,CSH,5.5,0.5,0.5,0.0,0.0,6.5,0,0,1.0
C9399F6FDCE64A44844ACEB3287765F1,7A499DF7CCD61B5E25EB2EEB11AA7D21,2013-01-01T00:07:00.000+01:00,2013-01-01T00:10:00.000+01:00,180,0.79,-73.977829,40.725555,-73.98824300000001,40.724903000000005,CSH,4.5,0.5,0.5,0.0,0.0,5.5,0,0,1.0
D158954A233E3E389D054E1F045653AE,BFFAEE8C72137192EC39FF8971F033B3,2013-01-01T00:08:00.000+01:00,2013-01-01T00:10:00.000+01:00,120,0.63,-73.968048,40.755435999999996,-73.973579,40.748165,CSH,4.0,0.5,0.5,0.0,0.0,5.0,0,0,1.0
D4FE616E7AA9F444E78B57B48A1625A5,7D540D90C5679B26310E68A47B8AF03A,2013-01-01T00:09:00.000+01:00,2013-01-01T00:10:00.000+01:00,60,0.37,-73.782089,40.644611,-73.781898,40.646843,CSH,3.5,0.5,0.5,0.0,0.0,4.5,0,0,1.0
D853D9584A3212931D6D04FB98F13C78,3340135645C5B0DDC1E5C1EEE435FD89,2013-01-01T00:09:00.000+01:00,2013-01-01T00:10:00.000+01:00,60,0.03,-73.983109,40.677094,-73.983109,40.677219,CSH,3.5,0.5,0.5,0.0,0.0,3.5,100000,1,1.0
EA1E031EF04F50863A8E506CEDE22D1F,32A2C31449B2CEABC8DADE189E058295,2013-01-01T00:06:00.000+01:00,2013-01-01T00:10:00.000+01:00,240,0.66,-73.945534,40.752949,-73.956245,40.773823,CSH,5.0,0.5,0.5,0.0,0.0,6.0,0,0,1.0
