medallion,hack_license,pickup_datetime,dropoff_datetime,trip_time_in_secs,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,surcharge,mta_tax,tip_amount,tolls_amount,total_amount,date
37FBBEFC47751F81BAE4BA8394FE45A8,846DDE5D7AFE3AE43BFA8F0F15DFD9B0,2013-01-01T00:31:00.000+01:00,2013-01-01T00:31:00.000+01:00,0,0.01,0.0,0.0,0.0,0.0,CSH,2.5,0.5,0.5,0.0,0.0,3.5,5.0
C703E0BC6A8677741E74962F130AD35B,9CA0EE0D72706FD3529786AFE6DA4072,2013-01-01T00:31:00.000+01:00,2013-01-01T00:31:00.000+01:00,0,0.0,-73.998032,40.745838,-73.998016,40.745838,CRD,5.5,0.0,0.0,1.38,0.0,6.88,5.0
D42498BA3D18CD3F3632F2E1EA3A25D1,BD63A3ABC2104AE2B4A95258377F8D42,2013-01-01T00:30:00.000+01:00,2013-01-01T00:31:00.000+01:00,60,0.57,-73.952789,40.772251000000004,-73.948265,40.778412,CSH,3.5,0.5,0.5,0.0,0.0,4.5,5.0
EE8A706C1D8EE8897A1FEB591B5E5884,529E7364F15A734DFB3F44376DC78267,2013-01-01T00:30:00.000+01:00,2013-01-01T00:31:00.000+01:00,60,0.64,-73.981476,40.778717,-73.980141,40.780701,CSH,4.0,0.5,0.5,0.0,0.0,5.0,5.0
05656E0120B5B5A98016D9015A84A2C6,90CF07326407C06E56C1B67837EA90BB,2013-01-01T00:30:00.000+01:00,2013-01-01T00:32:00.000+01:00,120,0.79,-73.97760799999999,40.788849,-73.984932,40.779274,CSH,4.5,0.5,0.5,0.0,0.0,5.5,5.0
098FF67267798F397F82E0922FA70FAB,663E98F54AFAD7F8DD356FFB5061EBAD,2013-01-01T00:30:00.000+01:00,2013-01-01T00:32:00.000+01:00,120,0.7,-73.976196,40.795021000000006,-73.97829399999999,40.788222999999995,CRD,4.5,0.5,0.5,1.0,0.0,6.5,5.0
1CBF109F11373196847D4FA2D53B5BBE,0FD70F4FFC5F6AFD3520A9099D09735D,2013-01-01T00:30:00.000+01:00,2013-01-01T00:32:00.000+01:00,120,0.69,-73.952332,40.768875,-73.950478,40.775356,CRD,4.0,0.5,0.5,0.9,0.0,5.9,5.0
582CAF46446FA03320E5178E7BEC1E86,91F65A1F1F1565EC719E37045C47BED6,2013-01-01T00:30:00.000+01:00,2013-01-01T00:32:00.000+01:00,120,0.9,-74.009064,40.725941,-73.956505,40.771397,CRD,5.0,0.5,0.5,1.65,0.0,7.65,5.0
93EC0E01A8D4F29F4BD85319F94A65DB,7101E61AA3D80D8A7FF855F32073A33F,2013-01-01T00:30:00.000+01:00,2013-01-01T00:32:00.000+01:00,120,0.38,-73.952057,40.777714,-73.954254,40.774502000000005,CRD,3.5,0.5,0.5,0.0,0.0,4.5,5.0
BEB2746258D1CCFBC07997AD059510CC,D04F960F8121549114569594B369E09F,2013-01-01T00:31:00.000+01:00,2013-01-01T00:32:00.000+01:00,60,0.49,-73.958359,40.772617,-73.953705,40.77227,CRD,3.5,0.5,0.5,1.2,0.0,5.7,5.0
