medallion,hack_license,pickup_datetime,dropoff_datetime,trip_time_in_secs,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,surcharge,mta_tax,tip_amount,tolls_amount,total_amount,mask,to_be_fixed,date
49B8CFC71F0ED39C7B3F68F603DB9D05,1FE259D800533F3B8A3163788069A377,2013-01-01T00:24:00.000+01:00,2013-01-01T00:25:00.000+01:00,60,0.0,-74.02906,40.743365999999995,-74.02906,40.743365999999995,CRD,62.0,0.0,0.5,10.0,0.0,72.5,0,0,4.0
72CD1200AA68EFDA9278DF0F96F58E42,88259697A53B0298A30AFE4440B724D5,2013-01-01T00:25:00.000+01:00,2013-01-01T00:25:00.000+01:00,0,0.0,0.0,0.0,0.0,0.0,CRD,2.5,0.5,0.5,7.5,0.0,11.0,0,0,4.0
C5D85E592F2CB9E36967D70F57CC0C79,2FBC48F9D6DA09A4EC535B18BBC31FBC,2013-01-01T00:25:00.000+01:00,2013-01-01T00:25:00.000+01:00,0,0.03,0.0,0.0,0.0,0.0,CSH,2.5,0.5,0.5,0.0,0.0,3.5,0,0,4.0
CEC3D09B4009A0FEDDBBBEF92C842E20,E61B0FE3563172042C7A28A76C02DEED,2013-01-01T00:24:00.000+01:00,2013-01-01T00:25:00.000+01:00,60,0.44,-73.955673,40.776505,-73.95285799999999,40.780376000000004,CSH,3.5,0.5,0.5,0.0,0.0,4.5,0,0,4.0
F26AEE7D5BBAFF3B28A185696145782B,EA14140EF36CBCFF07B993D477E633CA,2013-01-01T00:25:00.000+01:00,2013-01-01T00:25:00.000+01:00,0,0.06,0.0,0.0,0.0,0.0,CRD,63.0,0.0,0.5,0.0,0.0,63.0,1000,1,4.0
02CDF4B814C18DE3898FDA761EA8A5B4,08091A8B9397002570863FD55E2D6133,2013-01-01T00:26:00.000+01:00,2013-01-01T00:26:00.000+01:00,0,0.05,-73.956032,40.771961,0.0,0.0,CRD,2.5,0.5,0.5,0.9,0.0,4.4,0,0,4.0
050E71DA009681B177455E36A1FDB041,75693A6AD5CF24B688BC1C06539A5FEC,2013-01-01T00:24:00.000+01:00,2013-01-01T00:26:00.000+01:00,120,0.39,-73.993309,40.722061,-73.991814,40.726181,CRD,3.5,0.5,0.5,1.0,0.0,5.5,0,0,4.0
0F4A6D743CD63B2BAB52B24332654F27,1DD6F2E0CFC650D6CE01584436E186B1,2013-01-01T00:24:00.000+01:00,2013-01-01T00:26:00.000+01:00,120,0.37,-73.971367,40.757545,-73.974144,40.754169,CSH,3.0,0.5,0.5,0.0,0.0,4.0,0,0,4.0
28581FB0321EC65E5039578E9862925D,1EAAE9D4D22AB94E73116D428B1C5250,2013-01-01T00:24:00.000+01:00,2013-01-01T00:26:00.000+01:00,120,0.53,-73.95399499999999,40.772846,-73.956841,40.768074,CSH,3.5,0.5,0.5,0.0,0.0,4.5,0,0,4.0
4B6414078475427BBDC5AC9CC4376B0C,5BB0C671C46D0FD04497CCAF665DA3BD,2013-01-01T00:24:00.000+01:00,2013-01-01T00:26:00.000+01:00,120,0.59,-74.003632,40.738566999999996,-73.96936,40.795448,CRD,4.0,0.5,0.5,0.9,0.0,5.9,0,0,4.0
