medallion,hack_license,pickup_datetime,dropoff_datetime,trip_time_in_secs,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,surcharge,mta_tax,tip_amount,tolls_amount,total_amount,date
2F2D6ECCDC211F02DBD4A98DCC0DB8B9,8EED2EC08191A7F47B37882F5E0913E4,2013-01-01T00:12:00.000+01:00,2013-01-01T00:13:00.000+01:00,60,0.45,-73.993332,40.727615,-73.991074,40.729847,CRD,3.5,0.5,0.5,1.2,0.0,5.7,2.0
D9F8DF71EE7206FA69A0D5534779FB99,A66ED73B1AFFFC696108B85D9E6C28C8,2013-01-01T00:12:00.000+01:00,2013-01-01T00:13:00.000+01:00,60,0.75,-73.96347800000001,40.774696,-73.955963,40.783051,CSH,4.0,0.5,0.5,0.0,0.0,5.0,2.0
FFCFA7AFF0DE2B5081C6C1A11099A691,1B5E6CE3A961EC8F0C15EB5E7DCF0964,2013-01-01T00:12:00.000+01:00,2013-01-01T00:13:00.000+01:00,60,0.47,-73.95015699999999,40.776222,-73.94720500000001,40.780006,CSH,3.5,0.5,0.5,0.0,0.0,4.5,2.0
0C2AB362250F44D1EDDCFB9A64895E73,8F589F68DC4B16219F46A1A6098A4BDB,2013-01-01T00:12:00.000+01:00,2013-01-01T00:14:00.000+01:00,120,0.68,-73.93895699999999,40.795464,-73.943336,40.78767,CRD,4.0,0.5,0.5,0.0,0.0,5.0,2.0
496036713FC662D7165AF3CE796FCAAA,964BBE98ACEB562E3B4C905DCBBE8710,2013-01-01T00:12:00.000+01:00,2013-01-01T00:14:00.000+01:00,120,0.71,-74.001427,40.746536,-74.00168599999999,40.751194,CSH,4.5,0.5,0.5,0.0,0.0,5.5,2.0
67267A1B52E5F75FF91025270EF184B3,F330D4D62F9827F350FFFA5D8ACB884D,2013-01-01T00:12:00.000+01:00,2013-01-01T00:14:00.000+01:00,120,0.57,-73.97979000000001,40.746272999999995,-73.983566,40.741108000000004,CSH,4.0,0.5,0.5,0.0,0.0,5.0,2.0
6B129E331EDE126B4E9AE336E45F0643,79D0A7B682ABC516B837B997968767C8,2013-01-01T00:12:00.000+01:00,2013-01-01T00:14:00.000+01:00,120,0.42,-73.949203,40.776835999999996,-73.95354499999999,40.779362,CSH,4.0,0.5,0.5,0.0,0.0,5.0,2.0
6F4D9CF35C3C619BEC72D0F47F79FC61,B190C2D1B512AAE64E35152CAF94CD27,2013-01-01T00:12:00.000+01:00,2013-01-01T00:14:00.000+01:00,120,0.2,-73.950027,40.780258,-73.9524,40.780704,CSH,3.0,0.5,0.5,0.0,0.0,4.0,2.0
974CEB992FB574CA3852AD7AA681E519,34E13D63B8C66CDF59130891AF31956B,2013-01-01T00:13:00.000+01:00,2013-01-01T00:14:00.000+01:00,60,0.26,-73.981712,40.724403,-73.979301,40.727703000000005,CSH,3.0,0.5,0.5,0.0,0.0,4.0,2.0
CFF15C3611C0FD3607388C8314F5C08F,8322F2222F5D9F5E23FB0A9D866EAF7E,2013-01-01T00:13:00.000+01:00,2013-01-01T00:14:00.000+01:00,60,0.0,0.0,0.0,0.0,0.0,CRD,6.0,0.0,0.5,1.2,0.0,7.7,2.0
D10D443F40D9B6102D0C48228C85736C,4CE104064D661917369460A8A642F8F9,2013-01-01T00:14:00.000+01:00,2013-01-01T00:14:00.000+01:00,0,0.0,-73.9916,40.754887,-73.9916,40.754887,CSH,2.5,0.5,0.5,0.0,0.0,3.5,2.0
E32F3FFD7C3199E8730913D836962B83,EB7ABAFC865DB6C79D0CF747654C9D37,2013-01-01T00:13:00.000+01:00,2013-01-01T00:14:00.000+01:00,60,0.19,-73.97580699999999,40.791725,-73.976555,40.790676,CSH,3.0,0.5,0.5,0.0,0.0,4.0,2.0
014ACA98D3DDEC14F0C3B635CA4BC080,4C88F61678A89F8EA2C9004DA2749D6A,2013-01-01T00:12:00.000+01:00,2013-01-01T00:15:00.000+01:00,180,0.85,-73.944351,40.714363,-73.948021,40.724509999999995,CRD,5.0,0.5,0.5,1.1,0.0,7.1,2.0
0CBA62067A3351DD226B5FFE9FAC5E91,98B45411138167389D3F03E50F3FAFE0,2013-01-01T00:13:00.000+01:00,2013-01-01T00:15:00.000+01:00,120,0.34,-73.98738900000001,40.721821000000006,-73.983864,40.721493,CSH,3.5,0.5,0.5,0.0,0.0,4.5,2.0
100DEE7AB8F53B5FD164D400BC086C5B,AF1BF5C3F3038C597B3D7694B1DA1A65,2013-01-01T00:15:00.000+01:00,2013-01-01T00:15:00.000+01:00,0,0.09,-73.987854,40.728321,-73.988327,40.727676,CRD,2.5,0.5,0.5,0.0,0.0,3.5,2.0
17D8DC59549D6B02AE50FFE726A03FA2,0BB61C85B29B80015D67F4445466669C,2013-01-01T00:13:00.000+01:00,2013-01-01T00:15:00.000+01:00,120,0.0,-73.985558,40.753036,-73.985573,40.753036,CSH,3.5,0.5,0.5,0.0,0.0,4.5,2.0
