medallion,hack_license,pickup_datetime,dropoff_datetime,trip_time_in_secs,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,surcharge,mta_tax,tip_amount,tolls_amount,total_amount,mask,to_be_fixed,date
7A3E5F967B2D11A6BDA7884C5C49FC85,FA37CB36F363F6DD89B11098922AB1B3,2013-01-01T00:54:00.000+01:00,2013-01-01T00:54:00.000+01:00,0,0.0,-73.95395699999999,40.771141,-73.953949,40.771149,CRD,13.5,0.0,0.0,2.7,0.0,16.2,0,0,9.0
0CE20C6DBE6C812107B07C3AE6370DB2,B4B7AE1CEBE0BA66DD7D309E4CDD80E9,2013-01-01T00:54:00.000+01:00,2013-01-01T00:55:00.000+01:00,60,0.23,-73.966988,40.788555,-73.968948,40.785801,CSH,3.5,0.5,0.5,0.0,0.0,4.5,0,0,9.0
78B1628412F2BC86FDB761D5F8655307,970075A1D63AA651E13696C3A18DCE40,2013-01-01T00:54:00.000+01:00,2013-01-01T00:55:00.000+01:00,60,0.05,-73.953568,40.775543,-73.953636,40.775482000000004,CSH,3.0,0.5,0.5,0.0,0.0,4.0,0,0,9.0
9786E56B89705E96F375715B844D2336,ED506323B59B1F55738077387121AA13,2013-01-01T00:55:00.000+01:00,2013-01-01T00:55:00.000+01:00,0,0.02,0.0,0.0,0.0,0.0,CRD,20.0,0.5,0.5,2.0,0.0,22.5,10000,1,9.0
9B59878E68F3A5B1E80B03235A33C184,2A530D3893D0BBDEA42B39B46F2E3B4E,2013-01-01T00:54:00.000+01:00,2013-01-01T00:55:00.000+01:00,60,0.07,-73.953796,40.682972,-73.953941,40.683448999999996,CSH,3.0,0.5,0.5,0.0,0.0,4.0,0,0,9.0
A7004B2F06C1A3114A48FC2003D0B68B,114AE210A9BAD84C7E567BF2E07BA0EF,2013-01-01T00:54:00.000+01:00,2013-01-01T00:55:00.000+01:00,60,0.28,-73.96605699999999,40.754112,-73.96476,40.755833,CSH,3.0,0.5,0.5,0.0,0.0,4.0,0,0,9.0
2E1685CA576A1D0357B2C8F9FD070434,AC8F60CA2C993BE4AE292EC18581DD8D,2013-01-01T00:55:00.000+01:00,2013-01-01T00:56:00.000+01:00,60,0.06,0.0,0.0,0.0,0.0,CRD,40.0,0.0,0.5,8.0,10.25,58.75,0,0,9.0
513D81919BFEBD122139B72F0A2E3845,9A5D14E622C9BAEAC2211F0404833385,2013-01-01T00:54:00.000+01:00,2013-01-01T00:56:00.000+01:00,120,0.52,-73.987427,40.687973,-73.994095,40.690216,CSH,3.5,0.5,0.5,0.0,0.0,4.5,0,0,9.0
72DD4CDB6741B7E93D4E22B6B8024263,AD8EBC5810405F9E07B7BEF3C6F4059C,2013-01-01T00:56:00.000+01:00,2013-01-01T00:56:00.000+01:00,0,0.0,-73.97126,40.755592,-73.971214,40.755627000000004,CSH,2.5,0.5,0.5,0.0,0.0,3.5,0,0,9.0
7B32326EAD6ACE4314E0C90ECEF8D291,0689CB393E1B25980674BEF1F0AB14DA,2013-01-01T00:54:00.000+01:00,2013-01-01T00:56:00.000+01:00,120,0.66,-73.967628,40.787857,-73.97515899999999,40.78693,CSH,4.0,0.5,0.5,0.0,0.0,5.0,0,0,9.0
A8A187C218525E8B94A09FF59D2FE979,DB94F464765ADD25017507F83575870F,2013-01-01T00:54:00.000+01:00,2013-01-01T00:56:00.000+01:00,120,0.53,-73.98554200000001,40.726994,-73.992012,40.726597,CSH,4.0,0.5,0.5,0.0,0.0,5.0,0,0,9.0
B3BB9F20C0D99EB36801043509F5908D,DF3316238ACAD2140FF6980F97291274,2013-01-01T00:54:00.000+01:00,2013-01-01T00:56:00.000+01:00,120,0.27,-74.00752299999999,40.725677000000005,-74.005257,40.720619,CSH,3.5,0.5,0.5,0.0,0.0,4.5,0,0,9.0
DDFC91F1EC01BD6E890BF70C45FB1F52,F1E141B352080CD7E222121884461CC7,2013-01-01T00:54:00.000+01:00,2013-01-01T00:56:00.000+01:00,120,0.67,-73.992203,40.725071,-73.953514,40.770958,CRD,4.0,0.5,0.5,0.9,0.0,5.9,0,0,9.0
