RowId,Source,Flight,ScheduledDeparture,ActualDeparture,DepartureGate,ScheduledArrival,ActualArrival,ArrivalGate,date
5123,ua,UA-2708-EWR-CLT,Sat_ Dec 3 2:55 PM,Sat_ Dec 3 2:55 PM,A37,Sat_ Dec 3 4:53 PM,Sat_ Dec 3 4:29 PM,C12,734474
5124,airtravelcenter,UA-2708-EWR-CLT,12/3/11 2:55 PM (-05:00),,,12/3/11 4:53 PM (-05:00),,,734474
5125,myrateplan,UA-2708-EWR-CLT,12/3/11 2:55 PM (-05:00),,,12/3/11 4:53 PM (-05:00),,,734474
5126,helloflight,UA-2708-EWR-CLT,12/3/11 2:55 PM (-05:00),,,12/3/11 4:53 PM (-05:00),,,734474
5127,flytecomm,UA-2708-EWR-CLT,12/3/11 2:55 PM (-05:00),,,12/3/11 4:53 PM (-05:00),,,734474
5128,flights,UA-2708-EWR-CLT,02:55 PM  Sat 03-Dec-2011,02:49 PM  Sat 03-Dec-2011,37,04:53 PM  Sat 03-Dec-2011,04:29 PM  Sat 03-Dec-2011,C12,734474
5129,businesstravellogue,UA-2708-EWR-CLT,02:55 PM  Sat 03-Dec-2011,02:49 PM  Sat 03-Dec-2011,37,04:53 PM  Sat 03-Dec-2011,04:29 PM  Sat 03-Dec-2011,C12,734474
5130,flylouisville,UA-2708-EWR-CLT,02:55 PM  Sat 03-Dec-2011,02:49 PM  Sat 03-Dec-2011,37,04:53 PM  Sat 03-Dec-2011,04:29 PM  Sat 03-Dec-2011,C12,734474
5131,flightstats,UA-2708-EWR-CLT,2011-12-03 2:55 PM,2011-12-03 2:49 PM,,2011-12-03 4:53 PM,2011-12-03 4:29 PM,,734474
5132,quicktrip,UA-2708-EWR-CLT,2011-12-03 2:55 PM,2011-12-03 2:49 PM,,2011-12-03 4:53 PM,2011-12-03 4:29 PM,,734474
5133,world-flight-tracker,UA-2708-EWR-CLT,2011-12-03 2:55 PM,2011-12-03 2:49 PM,,2011-12-03 4:53 PM,2011-12-03 4:29 PM,,734474
5134,flightview,UA-2708-EWR-CLT,2:55 PM_ Dec 03,3:05 PM_ Dec 03,,4:53 PM_ Dec 03,4:20 PM_ Dec 03,,734474
5135,panynj,UA-2708-EWR-CLT,2:55 PM_ Dec 03,3:05 PM_ Dec 03,,4:53 PM_ Dec 03,4:20 PM_ Dec 03,,734474
5136,gofox,UA-2708-EWR-CLT,2:55 PM_ Dec 03,3:05 PM_ Dec 03,,4:53 PM_ Dec 03,4:20 PM_ Dec 03,,734474
5137,foxbusiness,UA-2708-EWR-CLT,2:55 PM_ Dec 03,3:05 PM_ Dec 03,,4:53 PM_ Dec 03,4:20 PM_ Dec 03,,734474
5138,allegiantair,UA-2708-EWR-CLT,2:55 PM_ Dec 03,3:05 PM_ Dec 03,,4:53 PM_ Dec 03,4:20 PM_ Dec 03,,734474
5139,boston,UA-2708-EWR-CLT,2:55 PM_ Dec 03,3:05 PM_ Dec 03,,4:53 PM_ Dec 03,4:20 PM_ Dec 03,,734474
5140,travelocity,UA-2708-EWR-CLT,Dec 03 - 2:55pm,Dec 03 - Contact Airline,Not provided by airline,Dec 03 - 4:53pm,Dec 03 - Contact Airline,Not provided by airline,734474
5141,orbitz,UA-2708-EWR-CLT,2:55pDec 3,2:49pDec 3,-,4:53pDec 3,4:29pDec 3,-,734474
5142,weather,UA-2708-EWR-CLT,2011-12-03 02:55 PM,,,2011-12-03 04:53 PM,,,734474
5143,ifly,UA-2708-EWR-CLT,2011-12-03 2:55 PM,2011-12-03 2:49 PM,,2011-12-03 4:53 PM,2011-12-03 4:29 PM,,734474
5144,usatoday,UA-2708-EWR-CLT,2011-12-03 2:55 PM,2011-12-03 2:49 PM,,2011-12-03 4:53 PM,2011-12-03 4:29 PM,,734474
5145,flightarrival,UA-2708-EWR-CLT,2:55 PM_ Dec 03,3:05 PM_ Dec 03,,4:53 PM_ Dec 03,4:20 PM_ Dec 03,,734474
5146,ua,UA-3925-IAD-ORF,Sat_ Dec 3 8:41 AM,Sat_ Dec 3 10:17 AM,A2A,Sat_ Dec 3 9:54 AM,Sat_ Dec 3 11:17 AM,--,734474
5147,flightexplorer,UA-3925-IAD-ORF,,12/3/2011 10:35AM EST,,,12/3/2011 11:08AM EST,,734474
5148,airtravelcenter,UA-3925-IAD-ORF,,12/3/11 10:35 AM (-05:00),,,12/3/11 11:08 AM (-05:00),,734474
5149,myrateplan,UA-3925-IAD-ORF,,12/3/11 10:35 AM (-05:00),,,12/3/11 11:08 AM (-05:00),,734474
5150,helloflight,UA-3925-IAD-ORF,,12/3/11 10:35 AM (-05:00),,,12/3/11 11:08 AM (-05:00),,734474
5151,flytecomm,UA-3925-IAD-ORF,,12/3/11 10:35 AM (-05:00),,,12/3/11 11:08 AM (-05:00),,734474
5152,flightaware,UA-3925-IAD-ORF,2011-12-03 08:41AM EST,2011-12-03 08:51AM EST,A1G,2011-12-03 09:34AM EST,2011-12-03 09:44AM EST,,734474
