RowId,Source,Flight,ScheduledDeparture,ActualDeparture,DepartureGate,ScheduledArrival,ActualArrival,ArrivalGate,date
35383,ua,UA-2708-EWR-CLT,Sat_ Dec 17 2:55 PM,Sat_ Dec 17 2:55 PM,A37,Sat_ Dec 17 4:53 PM,Sat_ Dec 17 4:37 PM,C17,734488
35384,airtravelcenter,UA-2708-EWR-CLT,12/17/11 2:55 PM (-05:00),,,12/17/11 4:53 PM (-05:00),,,734488
35385,myrateplan,UA-2708-EWR-CLT,12/17/11 2:55 PM (-05:00),,,12/17/11 4:53 PM (-05:00),,,734488
35386,helloflight,UA-2708-EWR-CLT,12/17/11 2:55 PM (-05:00),,,12/17/11 4:53 PM (-05:00),,,734488
35387,flytecomm,UA-2708-EWR-CLT,12/17/11 2:55 PM (-05:00),,,12/17/11 4:53 PM (-05:00),,,734488
35388,flights,UA-2708-EWR-CLT,,2011-12-17 02:51 PM,37,,2011-12-17 04:37 PM,C17,734488
35389,businesstravellogue,UA-2708-EWR-CLT,,2011-12-17 02:51 PM,37,,2011-12-17 04:37 PM,C17,734488
35390,flylouisville,UA-2708-EWR-CLT,,2011-12-17 02:51 PM,37,,2011-12-17 04:37 PM,C17,734488
35391,flightstats,UA-2708-EWR-CLT,2011-12-17 2:55 PM,2011-12-17 2:51 PM,,2011-12-17 4:53 PM,2011-12-17 4:37 PM,,734488
35392,quicktrip,UA-2708-EWR-CLT,2011-12-17 2:55 PM,2011-12-17 2:51 PM,,2011-12-17 4:53 PM,2011-12-17 4:37 PM,,734488
35393,flightview,UA-2708-EWR-CLT,,3:07 PMDec 17,,,4:37 PMDec 17,,734488
35394,panynj,UA-2708-EWR-CLT,,3:07 PMDec 17,,,4:37 PMDec 17,,734488
35395,gofox,UA-2708-EWR-CLT,,3:07 PMDec 17,,,4:37 PMDec 17,,734488
35396,foxbusiness,UA-2708-EWR-CLT,,3:07 PMDec 17,,,4:37 PMDec 17,,734488
35397,allegiantair,UA-2708-EWR-CLT,,3:07 PMDec 17,,,4:37 PMDec 17,,734488
35398,boston,UA-2708-EWR-CLT,,3:07 PMDec 17,,,4:37 PMDec 17,,734488
35399,orbitz,UA-2708-EWR-CLT,2:55pDec 17,2:51pDec 17,A37,4:53pDec 17,4:37pDec 17,C17,734488
35400,weather,UA-2708-EWR-CLT,2011-12-17 02:55 PM,,,2011-12-17 04:53 PM,,,734488
35401,ifly,UA-2708-EWR-CLT,2011-12-17 2:55 PM,2011-12-17 2:51 PM,,2011-12-17 4:53 PM,2011-12-17 4:37 PM,,734488
35402,flightarrival,UA-2708-EWR-CLT,2011-12-17 02:55 PM,,,2011-12-17 04:53 PM,,,734488
35403,ua,UA-3925-IAD-ORF,Sat_ Dec 17 8:42 AM,Sat_ Dec 17 8:35 AM,A2G,Sat_ Dec 17 9:55 AM,Sat_ Dec 17 9:33 AM,--,734488
35404,flightexplorer,UA-3925-IAD-ORF,,12/17/2011 8:55AM EST,,,12/17/2011 9:28AM EST,,734488
35405,airtravelcenter,UA-3925-IAD-ORF,,12/17/11 8:55 AM (-05:00),,,12/17/11 9:28 AM (-05:00),,734488
35406,myrateplan,UA-3925-IAD-ORF,,12/17/11 8:55 AM (-05:00),,,12/17/11 9:28 AM (-05:00),,734488
35407,helloflight,UA-3925-IAD-ORF,,12/17/11 8:55 AM (-05:00),,,12/17/11 9:28 AM (-05:00),,734488
35408,flytecomm,UA-3925-IAD-ORF,,12/17/11 8:55 AM (-05:00),,,12/17/11 9:28 AM (-05:00),,734488
35409,flightaware,UA-3925-IAD-ORF,2011-12-17 08:42AM EST,2011-12-17 09:02AM EST,A2A,2011-12-17 09:20AM EST,2011-12-17 09:40AM EST,,734488
35410,wunderground,UA-3925-IAD-ORF,2011-12-17 08:42AM EST,2011-12-17 09:02AM EST,A2A,2011-12-17 09:20AM EST,2011-12-17 09:40AM EST,,734488
35411,flights,UA-3925-IAD-ORF,,2011-12-17 08:35 AM,A2,,2011-12-17 09:33 AM,,734488
35412,businesstravellogue,UA-3925-IAD-ORF,,2011-12-17 08:35 AM,A2,,2011-12-17 09:33 AM,,734488
35413,flylouisville,UA-3925-IAD-ORF,,2011-12-17 08:35 AM,A2,,2011-12-17 09:33 AM,,734488
35414,flightstats,UA-3925-IAD-ORF,2011-12-17 8:42 AM,2011-12-17 8:35 AM,,2011-12-17 9:55 AM,2011-12-17 9:33 AM,,734488
35415,quicktrip,UA-3925-IAD-ORF,2011-12-17 8:42 AM,2011-12-17 8:35 AM,,2011-12-17 9:55 AM,2011-12-17 9:33 AM,,734488
35416,flightview,UA-3925-IAD-ORF,,8:55 AMDec 17,,,9:33 AMDec 17,,734488
35417,panynj,UA-3925-IAD-ORF,,8:55 AMDec 17,,,9:33 AMDec 17,,734488
35418,gofox,UA-3925-IAD-ORF,,8:55 AMDec 17,,,9:33 AMDec 17,,734488
35419,foxbusiness,UA-3925-IAD-ORF,,8:55 AMDec 17,,,9:33 AMDec 17,,734488
35420,allegiantair,UA-3925-IAD-ORF,,8:55 AMDec 17,,,9:33 AMDec 17,,734488
35421,boston,UA-3925-IAD-ORF,,8:55 AMDec 17,,,9:30 AMDec 17,,734488
35422,orbitz,UA-3925-IAD-ORF,8:42aDec 17,8:35aDec 17,A2G,9:55aDec 17,9:33aDec 17,-,734488
35423,weather,UA-3925-IAD-ORF,2011-12-17 08:42 AM,,,2011-12-17 09:55 AM,,,734488
35424,usatoday,UA-3925-IAD-ORF,,8:55 AMDec 17,,,9:30 AMDec 17,,734488
35425,flightarrival,UA-3925-IAD-ORF,2011-12-17 08:42 AM,,,2011-12-17 09:55 AM,,,734488
35426,aa,AA-649-ORD-SNA,December 17_ 2011               01:30 PM,December 17_ 2011,H12,December 17_ 2011               03:50 PM,December 17_ 2011,7,734488
35427,airtravelcenter,AA-649-ORD-SNA,,12/17/11 1:34 PM (-06:00),,,12/17/11 3:18 PM (-08:00),,734488
35428,myrateplan,AA-649-ORD-SNA,,12/17/11 1:34 PM (-06:00),,,12/17/11 3:18 PM (-08:00),,734488
35429,helloflight,AA-649-ORD-SNA,,12/17/11 1:34 PM (-06:00),,,12/17/11 3:18 PM (-08:00),,734488
35430,flytecomm,AA-649-ORD-SNA,,12/17/11 1:34 PM (-06:00),,,12/17/11 3:18 PM (-08:00),,734488
35431,flightaware,AA-649-ORD-SNA,2011-12-17 01:30PM CST,2011-12-17 01:40PM CST,H12,2011-12-17 03:30PM PST,2011-12-17 03:40PM PST,7,734488
35432,wunderground,AA-649-ORD-SNA,2011-12-17 01:30PM CST,2011-12-17 01:40PM CST,H12,2011-12-17 03:30PM PST,2011-12-17 03:40PM PST,7,734488
35433,flights,AA-649-ORD-SNA,01:30 PM  Sat 17-Dec-2011,,H12,03:50 PM  Sat 17-Dec-2011,,7,734488
35434,businesstravellogue,AA-649-ORD-SNA,01:30 PM  Sat 17-Dec-2011,,H12,03:50 PM  Sat 17-Dec-2011,,7,734488
35435,flylouisville,AA-649-ORD-SNA,01:30 PM  Sat 17-Dec-2011,,H12,03:50 PM  Sat 17-Dec-2011,,7,734488
35436,world-flight-tracker,AA-649-ORD-SNA,2011-12-17 1:30 PM,2011-12-17 1:30 PM (Estimated),,2011-12-17 3:50 PM,2011-12-17 3:50 PM (Estimated),,734488
35437,flightview,AA-649-ORD-SNA,1:30 PM_ Dec 17,,H12,3:50 PM_ Dec 17,,Terminal A - 7,734488
35438,panynj,AA-649-ORD-SNA,1:30 PM_ Dec 17,,H12,3:50 PM_ Dec 17,,Terminal A - 7,734488
35439,gofox,AA-649-ORD-SNA,1:30 PM_ Dec 17,,,3:50 PM_ Dec 17,,,734488
35440,foxbusiness,AA-649-ORD-SNA,1:30 PM_ Dec 17,,H12,3:50 PM_ Dec 17,,Terminal A - 7,734488
35441,allegiantair,AA-649-ORD-SNA,1:30 PM_ Dec 17,,H12,3:50 PM_ Dec 17,,Terminal A - 7,734488
35442,boston,AA-649-ORD-SNA,1:30 PM_ Dec 17,Not Available,,3:50 PM_ Dec 17,Not Available,,734488
35443,travelocity,AA-649-ORD-SNA,Dec 17 - 1:30pm,Dec 17 - Not Available,H12/T3,Dec 17 - 3:50pm,Dec 17 - Not Available,7,734488
35444,orbitz,AA-649-ORD-SNA,1:30pDec 17,,H12,3:50pDec 17,,7,734488
35445,weather,AA-649-ORD-SNA,2011-12-17 01:30 PM,,,2011-12-17 03:50 PM,,,734488
35446,usatoday,AA-649-ORD-SNA,2011-12-17 01:30 PM,,,2011-12-17 03:50 PM,,,734488
35447,mytripandmore,AA-649-ORD-SNA,1:30pDec 17,,H12,3:50pDec 17,,7,734488
35448,ua,UA-382-IAD-LAX,Sat_ Dec 17 12:20 PM,Sat_ Dec 17 12:29 PM            Delayed,C27,Sat_ Dec 17 3:08 PM,Sat_ Dec 17 2:50 PM,70A,734488
35449,ua,UA-382-IAD-LAX,Sat_ Dec 17 12:20 PM,Sat_ Dec 17 12:29 PM            Delayed,C27,Sat_ Dec 17 3:08 PM,Sat_ Dec 17 2:50 PM,70A,734488
35450,ua,UA-382-IAD-LAX,Sat_ Dec 17 12:20 PM,Sat_ Dec 17 12:29 PM            Delayed,C27,Sat_ Dec 17 3:08 PM,Sat_ Dec 17 3:10 PM,70A,734488
35451,ua,UA-382-IAD-LAX,Sat_ Dec 17 12:20 PM,Sat_ Dec 17 12:29 PM            Delayed,C27,Sat_ Dec 17 3:08 PM,Sat_ Dec 17 3:10 PM,70A,734488
35452,flightexplorer,UA-382-IAD-LAX,,12/17/2011 12:42PM EST,,,12/17/2011 2:41PM PST,,734488
35453,flightexplorer,UA-382-IAD-LAX,,12/17/2011 12:42PM EST,,,12/17/2011 2:41PM PST,,734488
35454,flightexplorer,UA-382-IAD-LAX,,12/17/2011 12:44PM EST,,,12/17/2011 2:42PM PST,,734488
35455,flightexplorer,UA-382-IAD-LAX,,12/17/2011 12:44PM EST,,,12/17/2011 2:42PM PST,,734488
35456,flightexplorer,UA-382-IAD-LAX,,12/17/2011 12:42PM EST,,,12/17/2011 2:43PM PST,,734488
35457,flightexplorer,UA-382-IAD-LAX,,12/17/2011 12:42PM EST,,,12/17/2011 2:43PM PST,,734488
35458,flightexplorer,UA-382-IAD-LAX,,12/17/2011 12:44PM EST,,,12/17/2011 2:38PM PST,,734488
35459,flightexplorer,UA-382-IAD-LAX,,12/17/2011 12:44PM EST,,,12/17/2011 2:38PM PST,,734488
35460,airtravelcenter,UA-382-IAD-LAX,,12/17/11 12:33 PM (-05:00),,,12/17/11 2:05 PM (-08:00),,734488
35461,airtravelcenter,UA-382-IAD-LAX,,12/17/11 12:33 PM (-05:00),,,12/17/11 2:05 PM (-08:00),,734488
35462,myrateplan,UA-382-IAD-LAX,,12/17/11 12:33 PM (-05:00),,,12/17/11 2:05 PM (-08:00),,734488
35463,myrateplan,UA-382-IAD-LAX,,12/17/11 12:33 PM (-05:00),,,12/17/11 2:05 PM (-08:00),,734488
35464,helloflight,UA-382-IAD-LAX,,12/17/11 12:33 PM (-05:00),,,12/17/11 2:05 PM (-08:00),,734488
35465,helloflight,UA-382-IAD-LAX,,12/17/11 12:33 PM (-05:00),,,12/17/11 2:05 PM (-08:00),,734488
35466,flytecomm,UA-382-IAD-LAX,,12/17/11 12:33 PM (-05:00),,,12/17/11 2:05 PM (-08:00),,734488
35467,flytecomm,UA-382-IAD-LAX,,12/17/11 12:33 PM (-05:00),,,12/17/11 2:05 PM (-08:00),,734488
35468,flightaware,UA-382-IAD-LAX,2011-12-17 12:20PM EST,2011-12-17 12:43PM EST,C27,2011-12-17 02:30PM PST,2011-12-17 02:42PM PST,70A,734488
35469,flightaware,UA-382-IAD-LAX,2011-12-17 12:20PM EST,2011-12-17 12:43PM EST,C27,2011-12-17 02:30PM PST,2011-12-17 02:42PM PST,70A,734488
35470,flightaware,UA-382-IAD-LAX,2011-12-17 12:20PM EST,2011-12-17 12:44PM EST,C27,2011-12-17 02:30PM PST,2011-12-17 02:37PM PST,70A,734488
35471,flightaware,UA-382-IAD-LAX,2011-12-17 12:20PM EST,2011-12-17 12:44PM EST,C27,2011-12-17 02:30PM PST,2011-12-17 02:37PM PST,70A,734488
35472,wunderground,UA-382-IAD-LAX,2011-12-17 12:20PM EST,2011-12-17 12:43PM EST,C27,2011-12-17 02:30PM PST,2011-12-17 02:42PM PST,70A,734488
35473,wunderground,UA-382-IAD-LAX,2011-12-17 12:20PM EST,2011-12-17 12:43PM EST,C27,2011-12-17 02:30PM PST,2011-12-17 02:42PM PST,70A,734488
35474,wunderground,UA-382-IAD-LAX,2011-12-17 12:20PM EST,2011-12-17 12:44PM EST,C27,2011-12-17 02:30PM PST,2011-12-17 02:37PM PST,70A,734488
35475,wunderground,UA-382-IAD-LAX,2011-12-17 12:20PM EST,2011-12-17 12:44PM EST,C27,2011-12-17 02:30PM PST,2011-12-17 02:37PM PST,70A,734488
35476,flights,UA-382-IAD-LAX,,2011-12-17 12:29 PM,C27,,2011-12-17 03:10 PM,70A,734488
35477,flights,UA-382-IAD-LAX,,2011-12-17 12:29 PM,C27,,2011-12-17 03:10 PM,70A,734488
35478,flights,UA-382-IAD-LAX,,2011-12-17 12:29 PM,C27,,2011-12-17 03:08 PM,70A,734488
35479,flights,UA-382-IAD-LAX,,2011-12-17 12:29 PM,C27,,2011-12-17 03:08 PM,70A,734488
35480,businesstravellogue,UA-382-IAD-LAX,,2011-12-17 12:29 PM,C27,,2011-12-17 03:10 PM,70A,734488
35481,businesstravellogue,UA-382-IAD-LAX,,2011-12-17 12:29 PM,C27,,2011-12-17 03:10 PM,70A,734488
35482,businesstravellogue,UA-382-IAD-LAX,,2011-12-17 12:29 PM,C27,,2011-12-17 03:08 PM,70A,734488
35483,businesstravellogue,UA-382-IAD-LAX,,2011-12-17 12:29 PM,C27,,2011-12-17 03:08 PM,70A,734488
35484,flylouisville,UA-382-IAD-LAX,,2011-12-17 12:29 PM,C27,,2011-12-17 03:10 PM,70A,734488
35485,flylouisville,UA-382-IAD-LAX,,2011-12-17 12:29 PM,C27,,2011-12-17 03:10 PM,70A,734488
35486,flylouisville,UA-382-IAD-LAX,,2011-12-17 12:29 PM,C27,,2011-12-17 03:08 PM,70A,734488
35487,flylouisville,UA-382-IAD-LAX,,2011-12-17 12:29 PM,C27,,2011-12-17 03:08 PM,70A,734488
35488,flightstats,UA-382-IAD-LAX,2011-12-17 12:20 PM,2011-12-17 12:29 PM,,2011-12-17 3:08 PM,2011-12-17 3:10 PM,,734488
35489,flightstats,UA-382-IAD-LAX,2011-12-17 12:20 PM,2011-12-17 12:29 PM,,2011-12-17 3:08 PM,2011-12-17 3:10 PM,,734488
35490,quicktrip,UA-382-IAD-LAX,2011-12-17 12:20 PM,2011-12-17 12:29 PM,,2011-12-17 3:08 PM,2011-12-17 3:10 PM,,734488
35491,quicktrip,UA-382-IAD-LAX,2011-12-17 12:20 PM,2011-12-17 12:29 PM,,2011-12-17 3:08 PM,2011-12-17 3:10 PM,,734488
35492,flightview,UA-382-IAD-LAX,,12:44 PMDec 17,,,3:10 PMDec 17,,734488
35493,flightview,UA-382-IAD-LAX,,12:44 PMDec 17,,,3:10 PMDec 17,,734488
35494,flightview,UA-382-IAD-LAX,,12:44 PMDec 17,,,2:47 PMDec 17,,734488
35495,flightview,UA-382-IAD-LAX,,12:44 PMDec 17,,,2:47 PMDec 17,,734488
35496,panynj,UA-382-IAD-LAX,,12:44 PMDec 17,,,3:10 PMDec 17,,734488
35497,panynj,UA-382-IAD-LAX,,12:44 PMDec 17,,,3:10 PMDec 17,,734488
35498,panynj,UA-382-IAD-LAX,,12:44 PMDec 17,,,2:47 PMDec 17,,734488
35499,panynj,UA-382-IAD-LAX,,12:44 PMDec 17,,,2:47 PMDec 17,,734488
35500,gofox,UA-382-IAD-LAX,,12:44 PMDec 17,,,3:10 PMDec 17,,734488
35501,gofox,UA-382-IAD-LAX,,12:44 PMDec 17,,,3:10 PMDec 17,,734488
35502,gofox,UA-382-IAD-LAX,,12:44 PMDec 17,,,2:47 PMDec 17,,734488
35503,gofox,UA-382-IAD-LAX,,12:44 PMDec 17,,,2:47 PMDec 17,,734488
