RowId,Source,Flight,ScheduledDeparture,ActualDeparture,DepartureGate,ScheduledArrival,ActualArrival,ArrivalGate,for_key,date
2567,ua,UA-2708-EWR-CLT,Fri_ Dec 2 2:55 PM,Fri_ Dec 2 2:55 PM,A37,Fri_ Dec 2 4:53 PM,Fri_ Dec 2 4:32 PM,C15,Fri_ Dec 2 2:55 PM,734473
2568,airtravelcenter,UA-2708-EWR-CLT,Fri_ Dec 2 2:55 PM,Fri_ Dec 2 2:55 PM,A37,Fri_ Dec 2 4:53 PM,Fri_ Dec 2 4:32 PM,C15,Fri_ Dec 2 2:55 PM,734473
2569,myrateplan,UA-2708-EWR-CLT,Fri_ Dec 2 2:55 PM,Fri_ Dec 2 2:55 PM,A37,Fri_ Dec 2 4:53 PM,Fri_ Dec 2 4:32 PM,C15,Fri_ Dec 2 2:55 PM,734473
2570,helloflight,UA-2708-EWR-CLT,Fri_ Dec 2 2:55 PM,Fri_ Dec 2 2:55 PM,A37,Fri_ Dec 2 4:53 PM,Fri_ Dec 2 4:32 PM,C15,Fri_ Dec 2 2:55 PM,734473
2571,flytecomm,UA-2708-EWR-CLT,Fri_ Dec 2 2:55 PM,Fri_ Dec 2 2:55 PM,A37,Fri_ Dec 2 4:53 PM,Fri_ Dec 2 4:32 PM,C15,Fri_ Dec 2 2:55 PM,734473
2572,flights,UA-2708-EWR-CLT,Fri_ Dec 2 2:55 PM,Fri_ Dec 2 2:55 PM,A37,Fri_ Dec 2 4:53 PM,Fri_ Dec 2 4:32 PM,C15,Fri_ Dec 2 2:55 PM,734473
2573,businesstravellogue,UA-2708-EWR-CLT,Fri_ Dec 2 2:55 PM,Fri_ Dec 2 2:55 PM,A37,Fri_ Dec 2 4:53 PM,Fri_ Dec 2 4:32 PM,C15,Fri_ Dec 2 2:55 PM,734473
2574,flylouisville,UA-2708-EWR-CLT,Fri_ Dec 2 2:55 PM,Fri_ Dec 2 2:55 PM,A37,Fri_ Dec 2 4:53 PM,Fri_ Dec 2 4:32 PM,C15,Fri_ Dec 2 2:55 PM,734473
2575,flightstats,UA-2708-EWR-CLT,Fri_ Dec 2 2:55 PM,Fri_ Dec 2 2:55 PM,A37,Fri_ Dec 2 4:53 PM,Fri_ Dec 2 4:32 PM,C15,Fri_ Dec 2 2:55 PM,734473
2576,quicktrip,UA-2708-EWR-CLT,Fri_ Dec 2 2:55 PM,Fri_ Dec 2 2:55 PM,A37,Fri_ Dec 2 4:53 PM,Fri_ Dec 2 4:32 PM,C15,Fri_ Dec 2 2:55 PM,734473
