RowId,Source,Flight,ScheduledDeparture,ActualDeparture,DepartureGate,ScheduledArrival,ActualArrival,ArrivalGate,for_key,date
29778,ua,UA-2708-EWR-CLT,Wed_ Dec 14 2:55 PM,Wed_ Dec 14 2:55 PM,A37,Wed_ Dec 14 4:53 PM,Wed_ Dec 14 4:46 PM,C13,Wed_ Dec 14 2:55 PM,734485
29779,airtravelcenter,UA-2708-EWR-CLT,Wed_ Dec 14 2:55 PM,Wed_ Dec 14 2:55 PM,A37,Wed_ Dec 14 4:53 PM,Wed_ Dec 14 4:46 PM,C13,Wed_ Dec 14 2:55 PM,734485
29780,myrateplan,UA-2708-EWR-CLT,Wed_ Dec 14 2:55 PM,Wed_ Dec 14 2:55 PM,A37,Wed_ Dec 14 4:53 PM,Wed_ Dec 14 4:46 PM,C13,Wed_ Dec 14 2:55 PM,734485
29781,helloflight,UA-2708-EWR-CLT,Wed_ Dec 14 2:55 PM,Wed_ Dec 14 2:55 PM,A37,Wed_ Dec 14 4:53 PM,Wed_ Dec 14 4:46 PM,C13,Wed_ Dec 14 2:55 PM,734485
29782,flytecomm,UA-2708-EWR-CLT,Wed_ Dec 14 2:55 PM,Wed_ Dec 14 2:55 PM,A37,Wed_ Dec 14 4:53 PM,Wed_ Dec 14 4:46 PM,C13,Wed_ Dec 14 2:55 PM,734485
29783,flights,UA-2708-EWR-CLT,Wed_ Dec 14 2:55 PM,Wed_ Dec 14 2:55 PM,A37,Wed_ Dec 14 4:53 PM,Wed_ Dec 14 4:46 PM,C13,Wed_ Dec 14 2:55 PM,734485
29784,businesstravellogue,UA-2708-EWR-CLT,Wed_ Dec 14 2:55 PM,Wed_ Dec 14 2:55 PM,A37,Wed_ Dec 14 4:53 PM,Wed_ Dec 14 4:46 PM,C13,Wed_ Dec 14 2:55 PM,734485
29785,flylouisville,UA-2708-EWR-CLT,Wed_ Dec 14 2:55 PM,Wed_ Dec 14 2:55 PM,A37,Wed_ Dec 14 4:53 PM,Wed_ Dec 14 4:46 PM,C13,Wed_ Dec 14 2:55 PM,734485
29786,flightstats,UA-2708-EWR-CLT,Wed_ Dec 14 2:55 PM,Wed_ Dec 14 2:55 PM,A37,Wed_ Dec 14 4:53 PM,Wed_ Dec 14 4:46 PM,C13,Wed_ Dec 14 2:55 PM,734485
29787,quicktrip,UA-2708-EWR-CLT,Wed_ Dec 14 2:55 PM,Wed_ Dec 14 2:55 PM,A37,Wed_ Dec 14 4:53 PM,Wed_ Dec 14 4:46 PM,C13,Wed_ Dec 14 2:55 PM,734485
