RowId,Source,Flight,ScheduledDeparture,ActualDeparture,DepartureGate,ScheduledArrival,ActualArrival,ArrivalGate,for_key,date
35383,ua,UA-2708-EWR-CLT,Sat_ Dec 17 2:55 PM,Sat_ Dec 17 2:55 PM,A37,Sat_ Dec 17 4:53 PM,Sat_ Dec 17 4:37 PM,C17,Sat_ Dec 17 2:55 PM,734488
35384,airtravelcenter,UA-2708-EWR-CLT,Sat_ Dec 17 2:55 PM,Sat_ Dec 17 2:55 PM,A37,Sat_ Dec 17 4:53 PM,Sat_ Dec 17 4:37 PM,C17,Sat_ Dec 17 2:55 PM,734488
35385,myrateplan,UA-2708-EWR-CLT,Sat_ Dec 17 2:55 PM,Sat_ Dec 17 2:55 PM,A37,Sat_ Dec 17 4:53 PM,Sat_ Dec 17 4:37 PM,C17,Sat_ Dec 17 2:55 PM,734488
35386,helloflight,UA-2708-EWR-CLT,Sat_ Dec 17 2:55 PM,Sat_ Dec 17 2:55 PM,A37,Sat_ Dec 17 4:53 PM,Sat_ Dec 17 4:37 PM,C17,Sat_ Dec 17 2:55 PM,734488
35387,flytecomm,UA-2708-EWR-CLT,Sat_ Dec 17 2:55 PM,Sat_ Dec 17 2:55 PM,A37,Sat_ Dec 17 4:53 PM,Sat_ Dec 17 4:37 PM,C17,Sat_ Dec 17 2:55 PM,734488
35388,flights,UA-2708-EWR-CLT,Sat_ Dec 17 2:55 PM,Sat_ Dec 17 2:55 PM,A37,Sat_ Dec 17 4:53 PM,Sat_ Dec 17 4:37 PM,C17,Sat_ Dec 17 2:55 PM,734488
35389,businesstravellogue,UA-2708-EWR-CLT,Sat_ Dec 17 2:55 PM,Sat_ Dec 17 2:55 PM,A37,Sat_ Dec 17 4:53 PM,Sat_ Dec 17 4:37 PM,C17,Sat_ Dec 17 2:55 PM,734488
35390,flylouisville,UA-2708-EWR-CLT,Sat_ Dec 17 2:55 PM,Sat_ Dec 17 2:55 PM,A37,Sat_ Dec 17 4:53 PM,Sat_ Dec 17 4:37 PM,C17,Sat_ Dec 17 2:55 PM,734488
35391,flightstats,UA-2708-EWR-CLT,Sat_ Dec 17 2:55 PM,Sat_ Dec 17 2:55 PM,A37,Sat_ Dec 17 4:53 PM,Sat_ Dec 17 4:37 PM,C17,Sat_ Dec 17 2:55 PM,734488
35392,quicktrip,UA-2708-EWR-CLT,Sat_ Dec 17 2:55 PM,Sat_ Dec 17 2:55 PM,A37,Sat_ Dec 17 4:53 PM,Sat_ Dec 17 4:37 PM,C17,Sat_ Dec 17 2:55 PM,734488
35393,flightview,UA-2708-EWR-CLT,Sat_ Dec 17 2:55 PM,Sat_ Dec 17 2:55 PM,A37,Sat_ Dec 17 4:53 PM,Sat_ Dec 17 4:37 PM,C17,Sat_ Dec 17 2:55 PM,734488
35394,panynj,UA-2708-EWR-CLT,Sat_ Dec 17 2:55 PM,Sat_ Dec 17 2:55 PM,A37,Sat_ Dec 17 4:53 PM,Sat_ Dec 17 4:37 PM,C17,Sat_ Dec 17 2:55 PM,734488
35395,gofox,UA-2708-EWR-CLT,Sat_ Dec 17 2:55 PM,Sat_ Dec 17 2:55 PM,A37,Sat_ Dec 17 4:53 PM,Sat_ Dec 17 4:37 PM,C17,Sat_ Dec 17 2:55 PM,734488
